WELL_LABEL,WELL_NAME,DP_CONTROL,DP_PRES_DROP,GL_CONTROL_MODE,GL_GLIR,GL_MINRT,GL_MAXRT,SOL.GLINJRT,PROSPER.GlINJRT,WELLTYPE,SOLV.OILRT,SOLV.GASRT,SOLV.LIQRT,SOLV.GLIR,SOLV.FWHP,SOLV.WCUT,SOLV.DDOWN,SOLV.THP,IS_MASKED,IS_DISABLED,WELLMODEL,IPRTYPE,PI,RESPRES,RESTEMP,GOR,SGOIL,SGGAS,CO2,WCUT,Prosper.Filename
WL-B017-LS,,NONE,0,CALCULATED,0.196,0.0,1.0,0.130585116,0.196,OilProducerGL,477.527865828,0.543187947,477.527865828,0.130585116,237.827588354,0.0,1502.59954042,237.827588354,0,0,VLPIPR,PI,0.446672385,2300.0,171.0,1137.5,40.099998474,0.810000002,0.0,0.0,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B017-LS .Out
WL-B034-SS,,NONE,0,CALCULATED,0.5,,,0.0,0.5,OilProducerGL,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,0.109905,1850.0,151.0,1409.0,22.700001,0.68,0.0,50.0,
WL-3001-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-3001-LS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-3002-TS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-3003-TS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-A007-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerGL,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,0.299695325,1850.0,151.0,1500.0,22.700000763,0.680000007,0.0,34.000000358,U:\01 Domestic\05 WestLutong\08 GAP Model\WL 7S.Out
WL-A007-LS,,NONE,0,CALCULATED,0.0,0.0,1.0,0.213063467,0.0,OilProducerGL,310.758255422,0.39674505,1107.47793608,0.213063467,155.552861267,71.940004826,1261.61175781,155.552861267,0,0,VLPIPR,PI,0.993801621,2261.0,170.0,1276.69995117,40.099998474,0.810000002,0.0,71.940004826,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform A\WL-A007-LS.Out
WL-A008-SS,,NONE,0,CALCULATED,0.311,0.0,1.0,0.020182331,0.311,OilProducerGL,61.417606739,0.115985306,218.879605494,0.020182331,156.188983419,71.940004826,1394.75072666,156.188983419,0,0,VLPIPR,PI,0.183264629,2252.0,165.0,1888.4699707,32.0,0.75999999,0.0,71.940004826,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform A\WL-A008-SS.Out
WL-A008-LS,,NONE,0,CALCULATED,0.311,0.0,1.0,0.185431166,0.311,OilProducerGL,16.066648689,0.049662815,55.32591986,0.185431166,186.166773446,70.959997177,647.734214581,186.166773446,0,0,VLPIPR,PI,0.089153937,2408.0,170.0,3091.05004883,40.099998474,0.810000002,0.0,70.959997177,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform A\WL-A008-LS.Out
WL-A010-TS,,NONE,0,CALCULATED,0.0,0.0,1.0,0.198719589,0.0,OilProducerGL,528.252785483,0.441091076,1354.49437143,0.198719589,246.403792882,61.000001431,660.744231406,246.403792882,0,0,VLPIPR,PI,2.171714196,2402.0,172.0,835.0,41.200000763,0.860000014,0.81,61.000001431,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform A\WL-A010S01-TS.Out
WL-A011-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-A011-LS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-A013-TS,,NONE,0,FIXEDVALUE,0.0,,,0.0,0.0,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,0.226578403,2328.0,171.0,783.0,40.099998474,0.810000002,0.0,54.150003195,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform A\WL-A013S01-TS.Out
